mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
60017.071696,2.047,1.249,21.358,11.02,16.04,0.05,o
60017.075303,2.047,1.249,21.359,11.02,15.999,0.048,o
60017.081683,2.047,1.249,21.361,11.02,16.05,0.049,o
60017.09711,2.047,1.249,21.365,11.02,15.982,0.047,o
60018.334936,2.051,1.263,21.7,10.9,16.073,0.09,o
60018.33825,2.051,1.263,21.701,10.9,16.135,0.037,o
60018.345151,2.051,1.263,21.703,10.9,16.13,0.036,o
60018.355781,2.051,1.263,21.706,10.89,16.022,0.027,o
60019.904832,2.057,1.281,22.107,10.74,16.468,0.057,c
60021.065733,2.061,1.295,22.394,10.63,16.243,0.048,o
60021.068907,2.061,1.295,22.395,10.63,16.217,0.052,o
60021.074848,2.061,1.295,22.396,10.63,16.222,0.052,o
60021.084935,2.061,1.295,22.398,10.63,16.162,0.051,o
60021.323824,2.062,1.298,22.456,10.6,16.241,0.038,o
60021.327043,2.062,1.298,22.457,10.6,16.213,0.038,o
