mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
58612.20632,2.012,1.487,28.84,5,19.24,0.08,g
58612.21611,2.012,1.487,28.84,5,18.79,0.06,r
58616.17576,2.045,1.558,28.68,5,19.35,0.09,g
58616.19544,2.045,1.558,28.68,5,18.87,0.06,r
58638.18476,2.226,1.967,27.09,5,19.44,0.11,r
58638.19454,2.226,1.967,27.09,5,19.95,0.15,g
58644.2203,2.275,2.083,26.46,5,19.93,0.19,r
58657.18723,2.378,2.334,24.88,5,19.57,0.19,r
58672.19201,2.494,2.625,22.73,5,18.96,0.08,g
58680.19307,2.554,2.778,21.45,5,19.11,0.19,r
